ACCESS_TIME,ACCESS_DAY,ACCESS_SEC,TYPE,AP_MAC,HMAC,HDEV,CNT,ASSO_CNT,MAX_ACCESS_TIME,USRINF_SEX,USRINF_AGE,USRINF_ADDR_CD_2,USRINF_ADDR_CD_5,USRINF_PREF,USRINF_CITY,APINF_SB_ID,APINF_ADDR_CD_2,APINF_ADDR_CD_5,APINF_ADDR_CD_11,APINF_CITY,APINF_PREF,APINF_SECTION,APINF_STREET,APINF_LAT,APINF_LNG,APINF_CATEGORY1,APINF_CATEGORY2,APINF_VENUE
2018-01-03 11:30:00,2018-01-03,41400,0,apmac464,dev464,dev464,1,1,2018-01-03 11:34:00,1,50,14,14135,神奈川県,川崎市多摩区,apinf464,26,26106,null,京都府,京都市下京区,東塩小路町,null,34.988,135.759,3100000,3123000,venue48
2018-01-03 11:45:00,2018-01-03,42300,0,apmac465,dev465,dev465,2,1,2018-01-03 11:47:00,0,60,23,23441,愛知県,知多郡阿久比町,apinf465,26,26106,null,京都府,京都市下京区,東塩小路町,null,34.987,135.76,null,null,venue47
2018-01-03 11:15:00,2018-01-03,40500,0,apmac466,dev466,dev466,2,1,2018-01-03 11:16:00,,,13,13103,東京都,港区,apinf466,26,26106,null,京都府,京都市下京区,東塩小路町,null,34.987,135.761,3100000,3123000,venue46
2018-01-03 11:15:00,2018-01-03,40500,0,apmac467,dev467,dev467,12,6,2018-01-03 11:21:00,0,30,12,12203,千葉県,市川市,apinf467,26,26106,null,京都府,京都市下京区,大黒町,大黒町,34.989,135.755,3100000,3108000,venue45
2018-01-03 11:00:00,2018-01-03,39600,0,apmac468,dev468,dev468,2,1,2018-01-03 11:07:00,0,30,13,13103,東京都,港区,apinf468,26,26106,null,京都府,京都市下京区,東塩小路町,null,34.987,135.76,3200000,3227001,venue44
2018-01-03 11:45:00,2018-01-03,42300,0,apmac469,dev469,dev469,1,1,2018-01-03 11:54:00,,,13,13109,東京都,品川区,apinf469,26,26106,null,京都府,京都市下京区,東塩小路町,null,34.987,135.761,2100000,2102000/2103000,venue43
2018-01-03 11:45:00,2018-01-03,42300,0,apmac470,dev470,dev470,5,0,2018-01-03 11:57:00,0,60,23,23201,愛知県,豊橋市,apinf470,26,26106,null,京都府,京都市下京区,大黒町,大黒町,34.989,135.755,3100000,3108000,venue42
2018-01-03 11:45:00,2018-01-03,42300,0,apmac471,dev471,dev471,1,0,2018-01-03 11:47:00,0,40,14,14116,神奈川県,横浜市泉区,apinf471,26,26107,null,京都府,京都市南区,東九条室町,null,34.984,135.757,1900000,1913000,venue41
2018-01-03 11:15:00,2018-01-03,40500,0,apmac472,dev472,dev472,1,1,2018-01-03 11:20:00,0,45,12,12104,千葉県,千葉市若葉区,apinf472,26,26106,null,京都府,京都市下京区,東塩小路町,null,34.986,135.761,2100000,2103000,venue40
2018-01-03 11:45:00,2018-01-03,42300,0,apmac473,dev473,dev473,1,0,2018-01-03 11:48:00,,,13,13101,東京都,千代田区,apinf473,26,26106,null,京都府,京都市下京区,東塩小路町,null,34.986,135.761,2100000,2103000,venue39
2018-01-03 11:15:00,2018-01-03,40500,0,apmac474,dev474,dev474,1,0,2018-01-03 11:21:00,,,13,13103,東京都,港区,apinf474,26,26106,null,京都府,京都市下京区,真苧屋町,真苧屋町,34.989,135.76,3100000,3122000,venue38
2018-01-03 11:30:00,2018-01-03,41400,0,apmac475,dev475,dev475,1,0,2018-01-03 11:40:00,,,13,13111,東京都,大田区,apinf475,26,26107,null,京都府,京都市南区,東九条室町,null,34.984,135.757,1900000,1913000,venue37
2018-01-03 11:30:00,2018-01-03,41400,0,apmac476,dev476,dev476,1,0,2018-01-03 11:40:00,,,14,14153,神奈川県,相模原市南区,apinf476,26,26107,null,京都府,京都市南区,東九条室町,null,34.984,135.757,1900000,1913000,venue36
2018-01-03 11:15:00,2018-01-03,40500,0,apmac477,dev477,dev477,1,1,2018-01-03 11:25:00,0,20,12,12,千葉県,null,apinf477,26,26106,null,京都府,京都市下京区,東塩小路町,null,34.986,135.761,2100000,2103000,venue35
2018-01-03 11:15:00,2018-01-03,40500,0,apmac478,dev478,dev478,1,1,2018-01-03 11:25:00,0,55,12,12204,千葉県,船橋市,apinf478,26,26106,null,京都府,京都市下京区,東塩小路町,null,34.986,135.761,2100000,2103000,venue34
2018-01-03 11:15:00,2018-01-03,40500,0,apmac479,dev479,dev479,2,0,2018-01-03 11:26:00,,,13,13103,東京都,港区,apinf479,26,26106,null,京都府,京都市下京区,東塩小路町,null,34.988,135.76,3700000,3728000,venue33
2018-01-03 11:15:00,2018-01-03,40500,0,apmac480,dev480,dev480,1,0,2018-01-03 11:19:00,,,14,14153,神奈川県,相模原市南区,apinf480,26,26106,null,京都府,京都市下京区,東塩小路町,null,34.987,135.76,3500000,3526000,venue32
2018-01-03 11:15:00,2018-01-03,40500,0,apmac481,dev481,dev481,2,1,2018-01-03 11:16:00,1,25,14,14214,神奈川県,伊勢原市,apinf481,26,26106,null,京都府,京都市下京区,東塩小路町,東塩小路町,34.986,135.759,3500000,3508000,venue31
2018-01-03 11:30:00,2018-01-03,41400,0,apmac482,dev482,dev482,1,0,2018-01-03 11:43:00,,,13,13104,東京都,新宿区,apinf482,26,26107,null,京都府,京都市南区,東九条西山王町,null,34.983,135.76,3100000,3148000,venue30
